Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
Y.W.C.A. PRESCHOOL LTD.,202120898G,,23/12/2021,$0,Sports,Registered,Others; Preschool,Ministry of Social and Family Development
WONDERLABS FOUNDATION LTD.,201728917R,"Financial assistance, bursaries & scholarships",22/3/2018,$0,Social and Welfare,Deregistered,Children/Youth,"Ministry of Culture, Community and Youth"
Wing Tai Foundation,T10CC0007K,,06/9/2010,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
VICTORY CHURCH,S93SS0029J,Supports other Charities,05/9/1995,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
VARIETY - THE CHILDREN'S CHARITY OF SINGAPORE LIMITED,201409448C,Grantmaking,16/4/2015,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
THE UNIVERSITY OF CHICAGO (SINGAPORE) FUND,T07CC2072B,Supports other Charities,26/11/2007,$0,Education,Deregistered,Foreign Educational Institutions/Funds,Ministry of Education
THE SOVEREIGN ART CHARITY LTD.,201333596K,"Public awareness, promotion & advisory",26/1/2017,$0,Arts and Heritage,Registered,Visual Arts,"Ministry of Culture, Community and Youth"
The GZ Charitable Trust,T14CC0005E,"Financial assistance, bursaries & scholarships",29/7/2014,$0,Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
"THE GRACE FOUNDATION, BY DRS MICHAEL AND PEGGY TAN LTD.",201540770E,"Financial assistance, bursaries & scholarships",18/8/2016,$0,Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
"THE BRETHREN CHAPEL, LTD",197802906K,Direct Services,22/8/1984,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
THE BREAK AWAY HOLIDAY CHARITY LTD.,201633679D,Direct Services,28/12/2017,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
TEMASEK SHOPHOUSE LTD.,202229933C,"Public awareness, promotion & advisory",31/10/2022,$0,Sports,Registered,Others; Singapore Community,"Ministry of Culture, Community and Youth"
"Teck Ghee Community Development, Welfare And Building Fund",T14CC0001K,"Financial assistance, bursaries & scholarships",07/2/2014,$0,Community,Registered,Central,People's Association
TAN MOK KOON CHARITY FUND LIMITED,201534719N,"Financial assistance, bursaries & scholarships",24/11/2015,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
Student Christian Movement of Singapore,S62SS0071H,Direct Services,22/5/1993,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
"ST JOHN'S, CAMBRIDGE (SINGAPORE)",201432348G,"Financial assistance, bursaries & scholarships",09/2/2015,$0,Education,Registered with IPC,Foreign Educational Institutions/Funds,Ministry of Education
"Sri Sathya Sai Society, Singapore",S75SS0055L,,02/1/1990,$0,Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SNPL CHARITY FUND,S87CC0464B,,30/6/1987,$0,Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
Singapore Ski & Snowboard Association,T12SS0048J,"Public awareness, promotion & advisory",07/3/2017,$0,Sports,Registered,NSAs,Sport Singapore
SINGAPORE MARITIME FOUNDATION,200400944W,"Public awareness, promotion & advisory",01/2/2005,$0,Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
SINGAPORE INSTITUTE OF BIOLOGY RESEARCH TRUST FUND,S89CC0685L,Research,27/9/1989,$0,Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
SINGAPORE CHINESE MUSIC FEDERATION,T14SS0001E,,28/1/2015,$0,Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
SINGAPORE BIBLE COLLEGE LIMITED,201020904N,Training & education,12/4/2011,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Shri Ram Chandra Mission,S97SS0008A,,07/10/2010,$0,Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
SHENTON CHARITABLE COMPANY LIMITED,200209965N,Supports other Charities,15/1/2003,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
SHAIKH OMAR ALKHATIB EDUCATIONAL FUND,T00CC1411B,,01/2/2000,$0,Education,Registered,Foundations & Trusts,Ministry of Education
SCULPTURE SQUARE LIMITED,199604522K,"Public awareness, promotion & advisory",22/8/1997,$0,Arts and Heritage,Deregistered,Visual Arts,"Ministry of Culture, Community and Youth"
S M JALEEL FOUNDATION LTD.,201009329W,Direct Services,10/1/2012,$0,Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
Retinitis Pigmentosa Society (Singapore),T02SS0033K,,27/8/2002,$0,Health,Deregistered,Diseases/Illnessess Support Group,Ministry of Health
raiSE Development Fund Trust Deed,T17CC0004B,Grantmaking,13/2/2019,$0,Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Pu Ji Si Buddhist Research Centre,T03SS0134B,,03/2/2006,$0,Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
"Polytechnic Christian Fellowship, Singapore",S64SS0036L,,21/1/1988,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
PETRA COMMUNITY LTD.,201903579E,Supports other Charities,15/11/2019,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
PEI HWA FOUNDATION LIMITED,199006258C,,08/7/1991,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
ONG FOUNDATION,201136545W,Training & education,05/7/2012,$0,Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Olivet Bible-Presbyterian Church,S93SS0074K,"Financial assistance, bursaries & scholarships",28/1/1995,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
NTU Tabernacle Fellowship,S87SS0007B,,03/12/1996,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
New Life Community Church,T02SS0095K,,04/4/2006,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
NEW CENTURY FOUNDATION LIMITED,200302325E,Direct Services,24/6/2003,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
NATIONAL SKIN CENTRE HEALTH ENDOWMENT FUND,T00CC1423K,Research,06/3/2000,$0,Unclassified,Deregistered,,Ministry of Health
NATIONAL CADET CORPS TRAINING AND WELFARE RESERVE FUND,S89CC0683H,,07/9/1989,$0,Education,Registered,Uniformed Groups,Ministry of Education
NANYANG KINDERGARTEN 51 CORONATION ROAD BUILDING FUND,T12CC0005F,Training & education,03/7/2012,$0,Education,Registered,Local Educational Institutions/Funds,Ministry of Education
NANYANG KINDERGARTEN 118 CAMPUS BUILDING FUND,T08CC2080J,Training & education,14/2/2008,$0,Education,Registered,Local Educational Institutions/Funds,Ministry of Education
NALANDA LIBRARY FUND LIMITED,201328967E,Grantmaking,19/9/2016,$0,Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
MRS PIROSKA RAJARATNAM MEMORIAL TRUST FUND,S90CC0767H,Direct Services,09/11/1990,$0,Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
MORNING STAR COMMUNITY SERVICES LTD.,201617675H,Direct Services,31/8/2016,$0,Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
LUCA FINETTO FOUNDATION LTD.,202034168G,Grantmaking,07/6/2021,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Leng Kong Toh Tong,S74SS0006K,Direct Services,25/9/1985,$0,Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
LEE KIM TAH FOUNDATION,197902917W,Supports other Charities,22/12/1986,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
LA SALLE CENTRE (LIMITED),200708204G,Direct Services,22/6/2009,$0,Education,Registered,Local Educational Institutions/Funds,"Ministry of Culture, Community and Youth"
Khyenkong Tharjay Buddhist Charitable Society,T05SS0083F,Supports other Charities,31/7/2006,$0,Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
KATHO TEMPLE,S85CC0269A,,13/12/1985,$0,Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
JOO CHIAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2008J,"Financial assistance, bursaries & scholarships",24/4/2007,$0,Community,Registered with IPC,South East,People's Association
JAZZ ASSOCIATION (SINGAPORE),201626167G,"Financial assistance, bursaries & scholarships",24/3/2017,$0,Arts and Heritage,Registered with IPC,Music & Orchestras,"Ministry of Culture, Community and Youth"
International College of Surgeons (Singapore Section),S93SS0028B,Training & education,30/12/1993,$0,Health,Registered,Health Professional Group,Ministry of Health
INTERNATIONAL CHINESE CULTURE EXCHANGE FEDERATION LIMITED,201728493C,"Public awareness, promotion & advisory",14/1/2019,$0,Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Human HeartS,T04SS0135C,Training & education,16/7/2008,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
HOMELESS HEARTS (LTD.),201839495C,"Financial assistance, bursaries & scholarships",01/11/2019,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
Hian Yong Tuah Toh Tong,T04SS0033J,Direct Services,02/5/1986,$0,Sports,Deregistered,Others,"Ministry of Culture, Community and Youth"
HEARTBEAT (SINGAPORE),T12SS0040H,Direct Services,18/6/2012,$0,Social and Welfare,Registered,Family,Ministry of Social and Family Development
GREENSG COLLAB LTD.,202112820E,"Public awareness, promotion & advisory",10/12/2021,$0,Others,Registered with IPC,Environment,"Ministry of Culture, Community and Youth"
GOH KENG SWEE FOUNDATION LTD.,200818254M,,03/11/2008,$0,Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
GESS FUND LTD.,201227734E,Training & education,09/5/2014,$0,Sports,Registered,Others,Ministry of Education
Dharma Drum (Singapore),T04SS0012C,Training & education,01/8/2006,$0,Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
DAVID COLVIN SCOTT FOUNDATION LIMITED,201202548N,,09/1/2013,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
Crowd Fellowship,T00SS0050L,,29/1/2001,$0,Religious,Deregistered,Christianity,"Ministry of Culture, Community and Youth"
Covenant Vision Christian Mission,T00SS0049C,,04/2/2005,$0,Religious,Deregistered,Christianity,"Ministry of Culture, Community and Youth"
Cornerstone Evangelical Baptist Church,S98SS0130L,Direct Services,27/7/1999,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Conservation International Singapore Conservation Trust,T17CC0001C,"Financial assistance, bursaries & scholarships",19/4/2017,$0,Others,Registered with IPC,Environment,"Ministry of Culture, Community and Youth"
Coalition Against Bullying for Children and Youth (CABCY),T05SS0272J,"Public awareness, promotion & advisory",17/2/2010,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,201404167K,"Financial assistance, bursaries & scholarships",06/1/2017,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CHOW & CHOWS CHARITY LTD.,201325771N,"Financial assistance, bursaries & scholarships",29/9/2015,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Children of Mother Earth Society (Singapore),T02SS0006E,Training & education,07/10/2002,$0,Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
Charis Centre,T00SS0185H,,01/2/2002,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CHANGI FOUNDATION LIMITED,201814465E,Direct Services,18/11/2018,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
Change Our World,T03SS0224K,Direct Services,05/4/2006,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
CFL Lumens Trust,T20CC0003G,Direct Services,02/7/2020,$0,Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CARMEL COMMUNITY SERVICES LTD.,201230606W,"Public awareness, promotion & advisory",04/6/2014,$0,Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
CANOSSA MISSION SINGAPORE,201020087W,Training & education,26/5/2011,$0,Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
CANCER WELLNESS LIMITED,201306807E,Direct Services,27/11/2015,$0,Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
CAMPVISION LTD.,201606103K,Training & education,20/4/2020,$0,Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
"BOYS' TOWN, SINGAPORE",S84CC0095A,Direct Services,12/10/1984,$0,Social and Welfare,Deregistered,Children/Youth,Ministry of Social and Family Development
BOYS' TOWN,201534576H,Direct Services,03/2/2016,$0,Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
AWWA LTD.,201500785Z,Direct Services,05/3/2015,$0,Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
AT CAPITAL CHARITABLE FOUNDATION LIMITED,201412023G,Grantmaking,06/5/2015,$0,Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Association for Breastfeeding Advocacy (Singapore),T03SS0174L,"Public awareness, promotion & advisory",13/2/2006,$0,Sports,Registered,Others,Ministry of Health
Assemblies of God Community Services Society,T00SS0005K,,12/5/2000,$0,Social and Welfare,Registered,Community,Ministry of Social and Family Development
AGAPE METHODIST CHURCH,T06CC1926E,Direct Services,06/2/2006,$0,Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2017G,"Financial assistance, bursaries & scholarships",25/4/2007,$0,Community,Registered,North West,People's Association
ACES CARE LIMITED,201608445Z,Direct Services,28/9/2016,$0,Health,Registered with IPC,Other Community-based Services,Ministry of Health
Zonta Singapore- Project Pari Fund,T10CC0004L,"Financial assistance, bursaries & scholarships",21/4/2010,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Community,Ministry of Social and Family Development
ZI JING CULTURAL CENTRE LTD.,201537410C,Training & education,18/7/2016,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T04CC1763A,"Financial assistance, bursaries & scholarships",20/2/2004,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
YYD EDUCATION CENTRE LIMITED,201610337C,Direct Services,27/6/2017,"$50,000 and <$200,000",Education,Registered with IPC,Local Educational Institutions/Funds,Ministry of Education
Yu Feng Zhi Fu Cai Bo Xing Jun Miao,T04SS0018A,Supports other Charities,04/7/2006,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
YOUTHWORKS LTD.,198204026C,Training & education,17/12/1984,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
YOUTHHARMONY LTD.,202033369K,"Financial assistance, bursaries & scholarships",12/5/2022,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
YOUTH GOLF NETWORK LTD.,201300853G,Training & education,21/2/2013,"$50,000 and <$200,000",Sports,Registered with IPC,Non-NSAs,Sport Singapore
YOUNG MUSICIANS' SOCIETY LTD,199600866D,Training & education,23/9/1996,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
YMCA Shine ,T17SS0015J,Direct Services,31/8/2018,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Yi Do An Chinese Temple,S94SS0150A,,11/11/1994,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
X-Pact Society,S97SS0133E,Training & education,24/6/1998,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Xing Guang Shan Sangha Mission,S94SS0044L,Training & education,15/5/1996,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Wu Tai Shan Buddhist Temple,S93SS0064E,Direct Services,21/1/2002,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Wu Hong Yan Kong Temple,S94SS0085E,,21/10/1997,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
WORLD-IN-THEATRE LTD.,200207216G,Training & education,28/3/2003,"$50,000 and <$200,000",Arts and Heritage,Registered,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
WORLD FUTURE FOUNDATION LTD.,200816862W,,20/2/2009,"$50,000 and <$200,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
WIRa Association,T06SS0118B,Direct Services,04/3/2015,"$50,000 and <$200,000",Social and Welfare,Registered,Family,Ministry of Social and Family Development
WHEELCHAIR RUGBY LIMITED,201602682H,"Public awareness, promotion & advisory",11/4/2017,"$50,000 and <$200,000",Sports,Deregistered,Disability Sports,Sport Singapore
