Source,Target
202120898G,Others
202120898G, Preschool
201728917R,Children/Youth
T10CC0007K,Community
S93SS0029J,Christianity
201409448C,Children/Youth
T07CC2072B,Foreign Educational Institutions/Funds
201333596K,Visual Arts
T14CC0005E,General Charitable Purposes
201540770E,Children/Youth
197802906K,Christianity
201633679D,Community
202229933C,Others
202229933C, Singapore Community
T14CC0001K,Central
201534719N,Community
S62SS0071H,Christianity
201432348G,Foreign Educational Institutions/Funds
S75SS0055L,Hinduism
S87CC0464B,Community
T12SS0048J,NSAs
200400944W,Think Tanks
S89CC0685L,Think Tanks
T14SS0001E,Music & Orchestras
201020904N,Christianity
S97SS0008A,General Charitable Purposes
200209965N,Community
T00CC1411B,Foundations & Trusts
199604522K,Visual Arts
201009329W,Community
T02SS0033K,Diseases/Illnessess Support Group
T17CC0004B,General Charitable Purposes
T03SS0134B,Buddhism
S64SS0036L,Christianity
201903579E,Christianity
199006258C,Community
201136545W,General Charitable Purposes
S93SS0074K,Christianity
S87SS0007B,Christianity
T02SS0095K,Christianity
200302325E,Community
T00CC1423K,
S89CC0683H,Uniformed Groups
T12CC0005F,Local Educational Institutions/Funds
T08CC2080J,Local Educational Institutions/Funds
201328967E,General Charitable Purposes
S90CC0767H,General Charitable Purposes
201617675H,Children/Youth
202034168G,Children/Youth
S74SS0006K,Others
197902917W,Community
200708204G,Local Educational Institutions/Funds
T05SS0083F,Buddhism
S85CC0269A,Buddhism
T07CC2008J,South East
201626167G,Music & Orchestras
S93SS0028B,Health Professional Group
201728493C,Historical & Cultural Conservation
T04SS0135C,Community
201839495C,Community
T04SS0033J,Others
T12SS0040H,Family
202112820E,Environment
200818254M,General Charitable Purposes
201227734E,Others
T04SS0012C,Buddhism
201202548N,Community
T00SS0050L,Christianity
T00SS0049C,Christianity
S98SS0130L,Christianity
T17CC0001C,Environment
T05SS0272J,Children/Youth
201404167K,Children/Youth
201325771N,Children/Youth
T02SS0006E,Children/Youth
T00SS0185H,Children/Youth
201814465E,Community
T03SS0224K,Community
T20CC0003G,Children/Youth
201230606W,Children/Youth
201020087W,Children/Youth
201306807E,Diseases/Illnessess Support Group
201606103K,Children/Youth
S84CC0095A,Children/Youth
201534576H,Children/Youth
201500785Z,Children/Youth
201412023G,General Charitable Purposes
T03SS0174L,Others
T00SS0005K,Community
T06CC1926E,Christianity
T07CC2017G,North West
201608445Z,Other Community-based Services
T10CC0004L,Community
201537410C,General Charitable Purposes
T04CC1763A,North West
201610337C,Local Educational Institutions/Funds
T04SS0018A,Taoism
198204026C,Children/Youth
202033369K,Music & Orchestras
201300853G,Non-NSAs
199600866D,Music & Orchestras
T17SS0015J,Christianity
S94SS0150A,Taoism
S97SS0133E,Christianity
S94SS0044L,Buddhism
S93SS0064E,Buddhism
S94SS0085E,Taoism
200207216G,Theatre & Dramatic Arts
200816862W,Environment
T06SS0118B,Family
201602682H,Disability Sports
T02SS0141C,Children/Youth
S73SS0002K,Buddhism
S99CC1379L,Buddhism
S61SS0159G,Christianity
S84SS0021K,Christianity
S64SS0034H,Others
202000697G,Community
S87CC0469D,Foundations & Trusts
S86CC0308D,North West
S94SS0099E,Taoism
T04CC1811H,Trust/Research Funds
S91SS0046K,Christianity
S90CC0754D,Christianity
202002000C,General Charitable Purposes
T11SS0127L,Christianity
T07CC2047L,Central
S87CC0511B,Christianity
T00SS0202D,Taoism
S70SS0004J,Taoism
S93SS0012K,Taoism
S83SS0009G,Taoism
S88SS0030F,Taoism
T12SS0217B,Animal Welfare
T02SS0211A,Christianity
S61SS0096D,Taoism
201401272N,Children/Youth
200509963D,Community
201631481G,Historical & Cultural Conservation
199900175N,Foreign Educational Institutions/Funds
T09CC0005E,General Charitable Purposes
T14CC0002F,Foreign Educational Institutions/Funds
199908127D,Music & Orchestras
201021112E,Community
201616367W,Disability (Adult)
201711592M,Music & Orchestras
T13SS0023B,Music & Orchestras
197901520Z,Others
197901873Z,Others
200507109D,General Charitable Purposes
202008502N,Community
T05SS0159B,Christianity
S86CC0314C,Christianity
T10CC0003D,Foundations & Trusts
201331791M,Others
T03SS0230J,Diseases/Illnessess Support Group
200410925C,Traditional Ethnic Performing Arts
S86CC0364F,Central
201630110G,Traditional Ethnic Performing Arts
S96SS0121C,Others
198200465N,Foundations & Trusts
S91CC0788H,Foundations & Trusts
T04CC1832C,North East
S92CC0892L,North East
T04CC1795H,North East
S91SS0060L,Traditional Ethnic Performing Arts
S59SS0019L,Children/Youth
T00CC1432H,Buddhism
202010858N,Diseases/Illnessess Support Group
198001178E,Christianity
T17SS0174A,Buddhism
T01SS0051A,Taoism
199704070D,Historical & Cultural Conservation
T02SS0183D,Children/Youth
201024306N,Foundations & Trusts
S91SS0088L,Eldercare
S84CC0031J,Christianity
T12CC0006B,Non-NSAs
S95SS0153E,Hinduism
S84SS0023B,Others
T02SS0007A,Children/Youth
S98SS0097L,Hinduism
S80SS0020E,Hinduism
201404060Z,Visual Arts
S90SS0085G,NSAs
T20SS0180A,Others
T20SS0180A, Special care oral health
T00SS0009E,Christianity
201920479W,Community
S97SS0176B,Taoism
S85CC0257D,Foundations & Trusts
201601389E,Humanitarian Aid
T08SS0029L,Christianity
S99SS0004E,Taoism
T00SS0172D,Support Groups
S99SS0083E,Diseases/Illnessess Support Group
